ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable,exposure,long_frac,short_frac
-0.1804514914245578,0.4,-0.056258467899166574,0.0,-0.3412994941620157,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,117.5701897057788,160.4128710350878,-42.84268132930899,crypto,4h,T3_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.5088976916105639,0.4911023083894362
-0.23843759963464253,0.4,-0.08673546392618606,0.0,-0.4509723444349091,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,65.35787675354557,160.4128710350878,-95.05499428154222,crypto,4h,MIDPOINT_200,binance,fixed,4.0,0.0,False,False,True,0.9998466894460941,0.47445194181662276,0.5253947476294714
-0.24970354996278918,0.3,-0.14598831822916566,0.0,-0.47228035977962224,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,24.84621594607847,160.4128710350878,-135.56665508900932,crypto,4h,DEMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.520961261325451,0.479038738674549
-0.25904243350922274,0.3,-0.16373910862271962,0.0,-0.48994358996560433,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,32.48676034870438,160.4128710350878,-127.92611068638341,crypto,4h,TSF_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5371605084851138,0.46283949151488624
-0.2636441789031311,0.2,-0.16580763473070523,0.0,-0.4986471665490094,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,45.59278675059695,160.4128710350878,-114.82008428449083,crypto,4h,LINEARREG_INTERCEPT_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.4977813401656686,0.5022186598343314
-0.27180666053509656,0.3,-0.17574652429452675,0.0,-0.5140853922466965,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,31.039250028390974,160.4128710350878,-129.37362100669682,crypto,4h,LINEARREG_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5370710581433592,0.4629289418566408
-0.27860893023250005,0.4,0.08242375987094294,0.22829999091585562,-0.5269509617609724,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,116.69364708083603,160.4128710350878,-43.71922395425176,crypto,4h,MININDEX,binance,fixed,4.0,0.0,False,True,True,0.8472525697163633,0.8472525697163633,0.0
-0.31746556355148664,0.2,-0.1931187312961145,0.0,-0.6004430076948429,,XRP/USD,10,10,3.577258609257723,False,False,False,False,0,False,22.360186516351213,160.4128710350878,-138.05268451873658,crypto,4h,SUM,binance,fixed,4.0,0.0,False,True,True,1.0,0.5000305839752793,0.49996941602472067
-0.32403624332860204,0.2,-0.18182530053166202,0.0,-0.6128705563203839,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,11.988234531705476,160.4128710350878,-148.42463650338232,crypto,4h,LINEARREG_INTERCEPT_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.4985618805619677,0.5014381194380322
-0.340498383299828,0.2,-0.2187859130958814,0.0,-0.6440064588316285,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,12.941548971463112,160.4128710350878,-147.47132206362468,crypto,4h,TEMA_1000,binance,fixed,4.0,0.0,False,False,True,0.9984920127795528,0.49737437008284147,0.5011176426967113
-0.34812868150798554,0.2,-0.1207414891186035,0.0,-0.6584381318435318,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,1.6939066940888452,160.4128710350878,-158.71896434099895,crypto,4h,MIDPOINT_100,binance,fixed,4.0,0.0,False,False,True,0.9997444873077883,0.48348585464774585,0.5162586326600427
-0.3527722588007825,0.4,-0.19845053401200818,0.0,-0.6672208277837115,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,50.78127044776136,160.4128710350878,-109.63160058732643,crypto,4h,MIDPRICE_200,binance,fixed,4.0,0.0,False,False,True,0.9997445068983136,0.502315780843541,0.4974287260547728
-0.36529985481643107,0.2,-0.30170006294886587,0.0,-0.6909150746389362,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,20.418945605441202,160.4128710350878,-139.9939254296466,crypto,4h,TRIX,binance,fixed,4.0,0.0,False,False,True,1.0,0.4961594226228236,0.5038405773771765
-0.372935663027572,0.4,-0.2020910150072793,0.0,-0.7053571690733295,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,15.56773297224613,160.4128710350878,-144.84513806284167,crypto,4h,TRIMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.4900779930037049,0.5099220069962951
-0.3731263061026716,0.2,-0.19676211152390188,0.0,-0.7057177445641903,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,2.5551011531142125,160.4128710350878,-157.85776988197358,crypto,4h,MA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.4913936159429058,0.5086063840570942
-0.3731263061026716,0.2,-0.19676211152390188,0.0,-0.7057177445641903,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,2.5551011531142125,160.4128710350878,-157.85776988197358,crypto,4h,SMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.4913936159429058,0.5086063840570942
-0.3812190214820471,0.4,-0.18291648967329072,0.0,-0.7210240168680286,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,28.153008737885862,160.4128710350878,-132.25986229720192,crypto,4h,EMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.48377847505550503,0.516221524944495
-0.3829532424519896,0.2,-0.15298093136426894,0.0,-0.7243040603585751,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,3.8732082108206995,160.4128710350878,-156.53966282426708,crypto,4h,MIDPRICE_100,binance,fixed,4.0,0.0,False,False,True,0.9995400830311766,0.5090629226804486,0.49047716035072797
-0.39127410668492724,0.1,-0.3004899044990893,0.0,-0.7400418452406675,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,0.5435451944978666,160.4128710350878,-159.8693258405899,crypto,4h,LINEARREG_INTERCEPT[WF],binance,family_reopt,4.0,1.5,False,False,True,1.0,0.508640916664994,0.491359083335006
-0.3929058886059324,0.1,-0.18133336538601183,0.0,-0.7431281391794162,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,1.2254545028592154,160.4128710350878,-159.18741653222858,crypto,4h,LINEARREG_INTERCEPT_50,binance,fixed,4.0,0.0,False,False,True,1.0,0.49922577252681394,0.5007742274731861
-0.3948136631991156,0.2,-0.15210838692599005,0.0,-0.7467364357830538,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,62.519730721256586,160.4128710350878,-97.8931403138312,crypto,4h,MA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.4930422255911665,0.5069577744088335
-0.3948136631991156,0.2,-0.15210838692599005,0.0,-0.7467364357830538,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,62.519730721256586,160.4128710350878,-97.8931403138312,crypto,4h,SMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.4930422255911665,0.5069577744088335
-0.4001014965933785,0.1,-0.33645224323398354,0.0,-0.7567376546614772,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,2.8453330433343567,160.4128710350878,-157.56753799175343,crypto,4h,ACCBANDS,binance,fixed,4.0,0.0,False,False,True,1.0,0.5255456532148661,0.4744543467851338
-0.40241750683236177,0.2,-0.3292872833054892,0.0,-0.7611180735585387,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-7.517070496791737,160.4128710350878,-167.92994153187954,crypto,4h,TRIMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5112721544353245,0.4887278455646755
-0.4031130111134476,0.2,-0.33853319620756467,0.0,-0.762433525470009,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-7.91568808034724,160.4128710350878,-168.32855911543504,crypto,4h,MA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5155508377646828,0.4844491622353172
-0.4031130111134476,0.2,-0.33853319620756467,0.0,-0.762433525470009,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-7.91568808034724,160.4128710350878,-168.32855911543504,crypto,4h,SMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5155508377646828,0.4844491622353172
-0.41421086897615406,0.3,-0.24551950840656528,0.0,-0.7834236167400898,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-9.831593057969961,160.4128710350878,-170.24446409305776,crypto,4h,KAMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.46323558572036483,0.5367644142796353
-0.42038609014846917,0.3,-0.19194379154212943,0.0,-0.7951032091103797,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,-2.5305687735791293,160.4128710350878,-162.9434398086669,crypto,4h,WMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.4878678438071975,0.5121321561928025
-0.4218293879153815,0.1,-0.22410872892294384,0.0,-0.7978330108642117,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-27.58735581667542,160.4128710350878,-188.00022685176322,crypto,4h,T3_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.5087313925642022,0.4912686074357978
-0.42400589690323365,0.3,-0.19832250305435353,0.0,-0.8019495820863651,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,27.040216867401416,160.4128710350878,-133.37265416768636,crypto,4h,MA[WF],binance,family_reopt,4.0,1.0,False,False,True,1.0,0.4966200900607805,0.5033799099392195
-0.42400589690323365,0.3,-0.19832250305435353,0.0,-0.8019495820863651,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,27.040216867401416,160.4128710350878,-133.37265416768636,crypto,4h,SMA[WF],binance,family_reopt,4.0,1.0,False,False,True,1.0,0.4966200900607805,0.5033799099392195
-0.4256797927280685,0.3,-0.25693072648764637,0.0,-0.8051155287559436,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,4.88060677076614,160.4128710350878,-155.53226426432164,crypto,4h,EMA[WF],binance,family_reopt,4.0,2.0,False,False,True,1.0,0.4963077471640096,0.5036922528359904
-0.427295026230917,0.2,-0.12936114444295657,0.0,-0.8081705236087083,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-27.814349051535316,160.4128710350878,-188.2272200866231,crypto,4h,TEMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.5181722921197951,0.48182770788020485
-0.4369199451979888,0.0,-0.210375461787173,0.0,-0.8263747509546783,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-36.33889655258333,160.4128710350878,-196.7517675876711,crypto,4h,APO,binance,fixed,4.0,0.0,False,False,True,1.0,0.5041956553870963,0.4958043446129037
-0.4369199451979888,0.0,-0.210375461787173,0.0,-0.8263747509546783,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-36.33889655258333,160.4128710350878,-196.7517675876711,crypto,4h,PPO,binance,fixed,4.0,0.0,False,False,True,1.0,0.5041956553870963,0.4958043446129037
-0.44042610214850103,0.2,-0.20225104598678617,0.0,-0.8330061707573944,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,9.576608580438313,160.4128710350878,-150.83626245464947,crypto,4h,TRIMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.4968748115032193,0.5031251884967807
-0.45229404404683954,0.2,-0.35509225976990805,0.0,-0.8554527714181628,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-6.8530916445703935,160.4128710350878,-167.26596267965817,crypto,4h,WMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5047432591949732,0.49525674080502674
-0.45280518485051696,0.2,-0.1375257665848993,0.0,-0.8564195248451556,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-13.30218831290033,160.4128710350878,-173.71505934798813,crypto,4h,MINMAX,binance,fixed,4.0,0.0,False,True,True,0.9944042390811187,0.4722701893490292,0.5221340497320897
-0.4552531135603032,0.2,-0.17620176690965314,0.0,-0.8610494496177309,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,3.1548219635268664,160.4128710350878,-157.25804907156092,crypto,4h,EMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.48630941095847857,0.5136905890415214
-0.45880230996864346,0.1,-0.26351706973340805,0.0,-0.867762272710992,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-33.873654761555755,160.4128710350878,-194.28652579664356,crypto,4h,T3[WF],binance,family_reopt,4.0,2.0,False,False,True,1.0,0.5189261725864125,0.4810738274135874
-0.46504080469017806,0.1,-0.12415739523438585,0.0,-0.8795615384082907,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-29.1820572787755,160.4128710350878,-189.59492831386328,crypto,4h,HT_SINE,binance,fixed,4.0,0.0,False,False,True,1.0,0.5035568883519643,0.49644311164803573
-0.46594239423696465,0.1,-0.0735466014082223,0.0,-0.8812667726173893,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-49.14134406460373,160.4128710350878,-209.55421509969153,crypto,4h,LINEARREG_ANGLE,binance,fixed,4.0,0.0,False,False,True,0.9999744506898314,0.5071214954374603,0.49285295525237105
-0.46594239423696465,0.1,-0.0735466014082223,0.0,-0.8812667726173893,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-49.14134406460373,160.4128710350878,-209.55421509969153,crypto,4h,LINEARREG_SLOPE,binance,fixed,4.0,0.0,False,False,True,0.9999744506898314,0.5071214954374603,0.49285295525237105
-0.47410113152873407,0.2,-0.32137836423434474,0.0,-0.8966979164040054,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-25.759106959703796,160.4128710350878,-186.17197799479158,crypto,4h,MAX,binance,fixed,4.0,0.0,False,True,True,0.8427427801972003,0.42034804222908406,0.4223947379681163
-0.47671221825196197,0.1,-0.18891736508394988,0.0,-0.9016364324052623,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-33.89117943032011,160.4128710350878,-194.3040504654079,crypto,4h,TRIMA[WF],binance,family_reopt,4.0,1.5,False,False,True,1.0,0.48590140047763014,0.5140985995223699
-0.49757215115804276,0.1,-0.4124513436926936,0.0,-0.9410901631164624,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-29.223077008126573,160.4128710350878,-189.63594804321437,crypto,4h,EMA_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5091352589606262,0.4908647410393738
-0.4977446425680371,0.0,-0.22412560203781456,0.0,-0.9414164071974263,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-45.33333268124375,160.4128710350878,-205.74620371633154,crypto,4h,T3_50,binance,fixed,4.0,0.0,False,False,True,1.0,0.5018065043114746,0.49819349568852545
-0.5051851189393486,0.0,-0.21656594995359174,0.0,-0.955489057979117,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-47.48583082628586,160.4128710350878,-207.89870186137364,crypto,4h,DEMA[WF],binance,family_reopt,4.0,1.0,False,False,True,1.0,0.49649381016707955,0.5035061898329204
-0.5064771436519501,0.1,-0.17667090082909714,0.0,-0.9579327472907128,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,25.84326677017603,160.4128710350878,-134.56960426491176,crypto,4h,MINMAXINDEX,binance,fixed,4.0,0.0,False,True,True,0.9934716076361123,0.4946149008736384,0.49885670676247384
-0.5088021272684873,0.1,-0.4430217341657321,0.0,-0.9623301381130039,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-22.249049565953907,160.4128710350878,-182.6619206010417,crypto,4h,T3_1000,binance,fixed,4.0,0.0,False,False,True,0.9356260315636014,0.495958376196759,0.4396676553668425
-0.5090533726446907,0.2,-0.16279742909283507,0.0,-0.9628053346277673,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,85.89537621137873,160.4128710350878,-74.51749482370906,crypto,4h,MAXINDEX,binance,fixed,4.0,0.0,False,True,True,0.8443397051377348,0.8443397051377348,0.0
-0.5196264490641178,0.0,-0.36994549365748963,0.0,-0.9828028730531865,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-24.83842435775607,160.4128710350878,-185.25129539284387,crypto,4h,MIN,binance,fixed,4.0,0.0,False,True,True,0.8451446144937741,0.44312707238973,0.402017542104044
-0.5210316510407422,0.0,-0.26617790040675304,0.0,-0.9854606217923698,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-33.1400060189672,160.4128710350878,-193.552877054055,crypto,4h,TSF_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.5180195350069914,0.4819804649930086
-0.5232648974201578,0.1,-0.3288711708070183,0.0,-0.989684504086811,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-28.2370951990783,160.4128710350878,-188.6499662341661,crypto,4h,IS#1,binance,is1_selection,4.0,2.5,False,False,True,0.9434305560593856,0.5989366907935884,0.34449386526579723
-0.5233010493463917,0.1,-0.21018479502304954,0.0,-0.9897528805465409,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-20.28768949968869,160.4128710350878,-180.70056053477649,crypto,4h,MIDPRICE[WF],binance,family_reopt,4.0,2.0,False,False,True,0.999603966101861,0.5108637031363684,0.48874026296549256
-0.5292922085017892,0.0,-0.19961056158068585,0.0,-1.0010843446039392,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-46.53338524105283,160.4128710350878,-206.94625627614062,crypto,4h,MIDPOINT_50,binance,fixed,4.0,0.0,False,False,True,0.9994251062377865,0.4905511401423685,0.5088739660954179
-0.5317336973138549,0.1,-0.21786277701664467,0.0,-1.0057020891843913,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-25.896130111776518,160.4128710350878,-186.30900114686432,crypto,4h,WMA[WF],binance,family_reopt,4.0,1.0,False,False,True,1.0,0.4926079343758999,0.5073920656241001
-0.5322812951374248,0.1,-0.2396434844085351,0.0,-1.0067377961143436,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-38.188778723205914,160.4128710350878,-198.60164975829372,crypto,4h,MIDPOINT[WF],binance,family_reopt,4.0,2.0,False,False,True,0.9996806238276295,0.4820044025669773,0.5176762212606522
-0.5390792265485513,0.2,-0.2944281210019837,0.0,-1.019595160349183,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-47.05680198098148,160.4128710350878,-207.46967301606927,crypto,4h,KAMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.46893428680289323,0.5310657131971068
-0.5468858167544642,0.1,-0.185989741472198,0.0,-1.034360265737753,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-55.21048129699774,160.4128710350878,-215.62335233208552,crypto,4h,MACDEXT,binance,fixed,4.0,0.0,False,False,True,1.0,0.5117855506662792,0.48821444933372077
-0.5500163001375218,0.0,-0.16624238106465955,0.0,-1.0402811499969271,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-59.51768654390268,160.4128710350878,-219.93055757899046,crypto,4h,DEMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.5100089643210524,0.48999103567894775
-0.554830019579809,0.2,-0.2097593908313931,0.0,-1.0493856467108118,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-52.58035478080923,160.4128710350878,-212.993225815897,crypto,4h,TRIMA_50,binance,fixed,4.0,0.0,False,False,True,1.0,0.4945496757756267,0.5054503242243733
-0.5558675159691097,0.0,-0.4927271355901846,0.0,-1.0513479302589712,,ETH/USD,10,10,3.577258609257723,False,False,False,False,0,False,-55.76922802997434,160.4128710350878,-216.18209906506212,crypto,4h,MIDPRICE_1000,binance,fixed,4.0,0.0,False,False,True,0.9999488915844001,0.4599406367332521,0.540008254851148
-0.5581139362647549,0.1,-0.2862423814775107,0.0,-1.0555967292271944,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-51.67322213040346,160.4128710350878,-212.08609316549126,crypto,4h,DEMA_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.5201918043218583,0.47980819567814176
-0.5611638201537895,0.0,-0.20473506820731693,0.0,-1.0613651704872966,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-60.46162422373104,160.4128710350878,-220.87449525881883,crypto,4h,MA_50,binance,fixed,4.0,0.0,False,False,True,1.0,0.4938726043557552,0.5061273956442448
-0.5611638201537895,0.0,-0.20473506820731693,0.0,-1.0613651704872966,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-60.46162422373104,160.4128710350878,-220.87449525881883,crypto,4h,SMA_50,binance,fixed,4.0,0.0,False,False,True,1.0,0.4938726043557552,0.5061273956442448
-0.56522570163571,0.0,-0.19529774621717896,0.0,-1.0690476677843892,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-65.41629186761233,160.4128710350878,-225.82916290270012,crypto,4h,LINEARREG_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.5035833095856825,0.4964166904143176
-0.5697844494569217,0.0,-0.31471576425059206,0.0,-1.0776699202972884,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-45.326977765087406,160.4128710350878,-205.7398488001752,crypto,4h,LINEARREG_200,binance,fixed,4.0,0.0,False,False,True,1.0,0.5175851395959267,0.48241486040407333
-0.5743602806629129,0.0,-0.208257336195477,0.0,-1.0863244837129,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-63.567324761288376,160.4128710350878,-223.98019579637617,crypto,4h,TSF_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.5033789314293541,0.496621068570646
-0.5790141130988522,0.1,-0.2923654140648847,0.0,-1.0951265758638808,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-59.647600190908236,160.4128710350878,-220.06047122599603,crypto,4h,KAMA[WF],binance,family_reopt,4.0,1.5,False,False,True,1.0,0.4565165874137369,0.5434834125862631
-0.582410102716463,0.0,-0.17018538495042196,0.0,-1.1015496291150344,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,-53.1606999642308,160.4128710350878,-213.57357099931858,crypto,4h,SAR,binance,fixed,4.0,0.0,False,False,True,1.0,0.5123859984498235,0.48761400155017653
-0.582410102716463,0.0,-0.17018538495042196,0.0,-1.1015496291150344,,DOGE/USD,10,10,3.577258609257723,False,False,False,False,0,False,-53.1606999642308,160.4128710350878,-213.57357099931858,crypto,4h,SAREXT,binance,fixed,4.0,0.0,False,False,True,1.0,0.5123859984498235,0.48761400155017653
-0.5828485498207592,0.0,-0.5158310097522326,0.0,-1.1023788922800641,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-60.63488430876536,160.4128710350878,-221.04775534385314,crypto,4h,MIDPOINT_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.45544215268990007,0.5445578473100999
-0.5855156539013079,0.1,-0.5352010998001119,0.0,-1.1074233575066057,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-32.68468517737658,160.4128710350878,-193.09755621246438,crypto,4h,LINEARREG_INTERCEPT_1000,binance,fixed,4.0,0.0,False,False,True,1.0,0.5260388083537367,0.4739611916462632
-0.6007360235116199,0.0,-0.36556431298035036,0.0,-1.13621061998889,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-66.27517082347671,160.4128710350878,-226.6880418585645,crypto,4h,MAMA,binance,fixed,4.0,0.0,False,False,True,1.0,0.5006697085374994,0.4993302914625006
-0.614412530661866,0.2,-0.17014244165146858,0.0,-1.1620778762550075,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-36.75024096294142,160.4128710350878,-197.1631119980292,crypto,4h,AVGDEV,binance,fixed,4.0,0.0,False,True,True,1.0,0.45106219679583504,0.5489378032041651
-0.619705158624831,0.0,-0.2257780681149116,0.0,-1.17208816340912,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-66.35860482587377,160.4128710350878,-226.77147586096157,crypto,4h,LINEARREG_INTERCEPT_21,binance,fixed,4.0,0.0,False,False,True,1.0,0.5012190726038476,0.49878092739615243
-0.6255444631274428,0.0,-0.11976756231415826,0.0,-1.183132415009737,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-62.25119311538198,160.4128710350878,-222.66406415046976,crypto,4h,NATR,binance,fixed,4.0,0.0,False,True,True,1.0,0.4463228176891699,0.5536771823108301
-0.6271335531225933,0.1,-0.2433716021011732,0.0,-1.1861379629674802,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-59.894852264796064,160.4128710350878,-220.30772329988386,crypto,4h,AROON,binance,fixed,4.0,0.0,False,False,True,0.9915553065344703,0.49934215010909594,0.49221315642537444
-0.6271335531225933,0.1,-0.2433716021011732,0.0,-1.1861379629674802,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,-59.894852264796064,160.4128710350878,-220.30772329988386,crypto,4h,AROONOSC,binance,fixed,4.0,0.0,False,False,True,0.9915553065344703,0.49934215010909594,0.49221315642537444
-0.6305341833535449,0.2,-0.14579795966153497,0.0,-1.1925697933086614,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-58.173931012308685,160.4128710350878,-218.58680204739647,crypto,4h,ATR,binance,fixed,4.0,0.0,False,True,True,1.0,0.44820109029679395,0.5517989097032061
-0.6461063321147547,0.1,-0.34432870232286084,0.0,-1.2220223982899756,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-65.55793383258614,160.4128710350878,-225.97080486767393,crypto,4h,KAMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.4657147570177475,0.5342852429822524
-0.6519267626962144,0.0,-0.31460371938840814,0.0,-1.2330309524314518,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-70.95144977250902,160.4128710350878,-231.3643208075968,crypto,4h,WMA_100,binance,fixed,4.0,0.0,False,False,True,1.0,0.49172633492938617,0.5082736650706139
-0.6578539657808048,0.0,-0.3165252745293836,0.0,-1.2442414522649319,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-66.551759326996,160.4128710350878,-226.9646303620838,crypto,4h,MIDPRICE_50,binance,fixed,4.0,0.0,False,False,True,0.9993867871701649,0.5134581469273956,0.4859286402427694
-0.662615806021986,0.0,-0.628710187910251,0.0,-1.2532478265141296,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,2.509768733288241,160.4128710350878,-157.90310230179955,crypto,4h,CDLXSIDEGAP3METHODS,binance,fixed,4.0,0.0,False,False,True,0.028783751513135468,0.013261159606084493,0.015522591907050973
-0.6650268512140574,0.0,-0.6469988383461418,0.0,-1.2578079911210247,,ADA/USD,10,10,3.577258609257723,False,False,False,False,0,False,3.591227161692378,160.4128710350878,-156.8216438733954,crypto,4h,CDLMORNINGSTAR,binance,fixed,4.0,0.0,False,False,True,0.015637617681760436,0.015637617681760436,0.0
-0.6716133822875732,0.1,-0.2944718388911105,0.0,-1.2702655203214037,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-73.86146732105614,160.4128710350878,-234.27433835614391,crypto,4h,MINUS_DI,binance,fixed,4.0,0.0,False,False,True,1.0,0.461129118067205,0.538870881932795
-0.6716133822875732,0.1,-0.2944718388911105,0.0,-1.2702655203214037,,AVAX/USD,10,10,3.577258609257723,False,False,False,False,0,False,-73.86146732105614,160.4128710350878,-234.27433835614391,crypto,4h,MINUS_DM,binance,fixed,4.0,0.0,False,False,True,1.0,0.461129118067205,0.538870881932795
