basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t,ctl_cagr_mean,ctl_pct_above,mix_cagr_mean,mix_pct_above
base,faithful,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,212,128,63,calendar,gross,4.348212159680417,0.06949631629802688,0.22655275400101532,0.3067555572408333,-0.5356049504400049,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,3.3544406267446076,0.06072302669247276,0.16270041712702424,0.37321985871163926,-0.4460827060097678,24.999315537303218,0.06937282259206912,0.06061556104112853,0.008757261550940587,0.3321548295399353,0.33550274757962417,-0.5356049504400049,0.09631353362453814,0.481561075775472,0.5347169790960923,0.0010615610369850703,0.03104161226063252,0.1552059366060557,0.24820108448187292,,,,
sector,faithful,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,212,126,63,calendar,gross,5.9105143374074895,0.08053577397705691,0.19521596742613928,0.412547062819172,-0.41370600304237465,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,4.140883717312799,0.0678032979635621,0.13698947771289774,0.49495259851755996,-0.3884920349161003,24.999315537303218,0.08039193681866741,0.06768290690381318,0.01270902991485423,0.4041965307896771,0.4187014240069232,-0.4137060030423747,0.13898331639690414,0.6949070690298528,0.7913348351512032,0.012080675263583363,0.06565076234180388,0.32824931812847846,0.528403572450341,,,,
broad,faithful,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,212,111,63,calendar,gross,4.664625830583349,0.07196237828966257,0.1975476524589468,0.3642785798460317,-0.5287762888736474,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,2.0104659301898598,0.04515050688073141,0.1616113361225701,0.2793771028938721,-0.5695238940041674,24.999315537303218,0.07183435702404961,0.04507118364367724,0.026763173380372374,0.3613617703475885,0.2450553019331679,-0.5287762888736474,0.19081705754037653,0.954072226896706,1.0532329614211449,0.0035230954689655647,0.02100180742267005,0.1050075996081364,0.16987679572396547,,,,
commodity,faithful,GLD SLV USO DBA TLT SHY,2002-07-30,2025-04-04,5709,193,101,63,calendar,gross,0.0582935214334126,0.0025040489480854244,0.24736137725590232,0.010123039319492934,-0.7645920436140092,7.383706718990171,0.09840179803877969,0.18927773589180386,0.5198804686412181,-0.551969547584094,1.0514639449756413,0.03222591712749723,0.11657548016424307,0.276438210523295,-0.4258418772853561,22.680355920602327,0.0025012196824509836,0.03218897216261807,-0.029687752480167084,0.07152485230575095,0.19675318082324275,-0.7645920436140092,-0.02619291692019517,-0.12474087848501153,-0.20034199381021725,-0.09578424886486347,-0.26173521611087025,-1.2464851046414505,-1.5435629062366805,,,,
stocks,faithful,AAPL TSLA XOM JNJ TLT BIL,2000-04-04,2025-04-04,6289,212,96,63,calendar,gross,109.29462853440609,0.2073830609465943,0.42110235405963004,0.4924766127458597,-0.9102165102713108,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,32.48199883290888,0.15106311135724537,0.16118818785934302,0.937184748854345,-0.3638943563679887,24.999315537303218,0.2069920551850204,0.15078482139543437,0.05620723378958603,0.6225069020972562,0.8442112025762762,-0.9102165102713108,0.37263768128020747,1.863162900567233,1.6135834704005874,0.13868079362993635,0.48507400935733613,2.425336845052967,2.1130048102571584,,,,
extended,faithful,XLF XLE XLK XLY XLP XLV XLI XLB XLU TLT SHY,2000-04-04,2025-04-04,6289,212,138,63,calendar,gross,4.0307745960857755,0.06687732069758745,0.2239346535007779,0.2986465902087599,-0.4876473720277369,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,6.415790732615708,0.08359546263850715,0.15082235543037356,0.554264401984483,-0.42896870831326117,24.999315537303218,0.06675862464749427,0.08344595277268452,-0.01668732812519025,0.3225825809167912,0.4908777941013297,-0.4876473720277369,-0.009794916295673693,-0.04897391104829733,-0.22602526987834762,-0.0015526369075897772,0.024661443573763906,0.12330552987344824,0.13441636213534708,,,,
vanguard,faithful,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,202,79,63,calendar,gross,7.275459677024582,0.093027200638641,0.17247608151477695,0.5393629065643567,-0.3737562986415983,5.341961626922377,0.08085280130959682,0.19107432677871067,0.4231484295806786,-0.5519695475840944,3.2954894039560614,0.06327171408455734,0.13360670441397848,0.4735669094008249,-0.3903151504752579,23.802874743326488,0.0928436599289475,0.06314856673339753,0.02969509319554997,0.5098361365150869,0.40694312490202056,-0.3737562986415983,0.2771167803043406,1.352002610370904,1.5898844596096684,0.012149502634373643,0.04975681128125185,0.24275447579213683,0.3543814669062778,,,,
spdrgold,faithful,SPY MDY SPEM SPDW GLD SPTI BIL,2000-04-04,2025-04-04,6289,212,98,63,calendar,gross,8.093951698727759,0.09248927793688244,0.1843130784293322,0.501805290894449,-0.3617693126283523,4.217056261781994,0.0684328057210708,0.1932568106783323,0.35410294457862224,-0.5519695475840956,3.1770863737885957,0.05895712473652881,0.1389905624367659,0.4241807767585047,-0.39463896143509636,24.999315537303218,0.09232319480337225,0.05885287022055752,0.03347032458281474,0.4764596924123424,0.3549293546813134,-0.3617693126283523,0.28173133174304943,1.4086373751245478,1.5346988071103231,0.02401193324828821,0.11056568219588217,0.5528208431191105,0.7150411166584008,,,,
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,146,63,trading,retail,11.878568978222042,0.10782804304618065,0.2270372450156422,0.47493548047040307,-0.43575782441736816,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.3534422627884073,0.060713280718236895,0.1626999444150275,0.37316104155121776,-0.4461017959723324,24.999315537303218,0.10763308547742434,0.060605832802927306,0.04702725267449703,0.48683795403187513,0.3354468094155709,-0.4357578244173682,0.26144005299503337,1.3071823702563112,1.5379361728383172,0.03932396065464494,0.16920733344510622,0.8460250855354816,1.0543885248460567,0.044931571323467236,0.013,0.058711944639469466,0.048
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,165,63,trading,retail,11.524010515650172,0.10658948418142589,0.189027431365025,0.5638836829750611,-0.3984471834987912,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.140446524587987,0.06779965912258157,0.136989540041353,0.49492581040942907,-0.38849203491610007,24.999315537303218,0.10639687172520707,0.06767927472646051,0.03871759699874655,0.5370030887380793,0.4186764313220728,-0.39844718349879116,0.26179771618426995,1.3089706617216155,1.8223559109118503,0.038087746902427666,0.17092044682884686,0.8545905351971615,1.4017700480967474,0.0544165292063068,0.023,0.06353271860536824,0.052
