class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
crypto,1d,ema_cross_sniper@allow_short=0,False,20,8.938601709264592,0.4360518985406299,0.637924916960142,0.33157425060770795,0.306350666352434,6.365550227510273,0.32669322709163345,6.146534208242212,753,1.2544378453450769,0.8014712030597259,0.452966642285351,3.7906512352665196,0.792110177403544,0.2620197966564025,1.903530500687573,16.416411512553584,3266,2017-08-29,2026-08-08,0.457605582316839,0.8212804439234934,-0.4681749894948616,-0.86811831251871,0.4033273485752644,823168.2713153007,206726.2328011097,1.224696475267813,-0.09667747802863497,0.1194957315173584,0.999,0.18774961653119704,0.6567322547714944,2000,0.0056221331780197574,0.4600610298806053,0.029933762387338737,6,0.314577;0.514248;-0.465825;0.277832;0.025534;-0.632633,0.5571855335197381,-0.6315764118070193,129316.12223524354,True,693852.1490800572,20.0,0.010699614681804177,1.998745651149115,0.4360518985406299,0.5319350218950423,1.3625779490024283,0.8306429271073861,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.6820735671266507,0.2973576907180504,-0.675972585233519,0.34056722624209157,8.03327659760462,True,1.0,823168.2713153007,-0.4681749894948616,True,0.42654264072735604,2.074905221463273,0.03799531969888115,0.05206627839609035,2219,0.3817264564743261,0.2798776487473357,0.04136266362308641,-0.21155414178143442,-0.2869015886238713,0.008589279728570355,-0.2234711313782065,6.897984183394578,2.315240282911129,0.45151749346043996,-1.8058437160591259,-1.5063531398721857,0.15761766805355834,-3.619267032010118,0.056971357704261205,0.4271708062241524,0.5513337842393713,close,-0.3052732036985963,20.712886671204014,1184,0.9766521010872937,0.9998809996121811,False,50,7,override,0.2957,override,False,False,False,True,True,True,3,6,False,True,underpowered
crypto,1d,renko_delta,False,20,8.938601709264592,0.48837646690638586,0.5317720722745474,0.33952099529808843,0.19225107697645893,3.3160836573516335,0.35236294896030246,1.619644270465063,2645,1.0797059177117583,0.8014712030597259,0.2782347146520324,1.6277438841300538,0.6221806029540592,0.18575920450189023,1.4427922744144503,16.416411512553584,3266,2017-08-29,2026-08-08,0.4757920391477777,0.8212804439234934,-0.6366401575973252,-0.86811831251871,0.4033273485752644,452248.0673164931,206726.2328011097,0.2277156024097334,-0.07649476215042268,0.17093273540433832,0.9295,-0.10337082165014475,0.576932436282045,2000,-0.15059439053741666,0.7098337391415696,-0.5196701630274533,6,0.813299;-0.309236;0.332807;0.128695;-0.824658;-1.044474,0.5793295611360012,-0.6483684677392261,136380.17434025707,True,315867.89297623606,3.0,0.041365667926328176,1.329639673158138,0.48837646690638586,0.5288688160476347,0.8352788713194764,0.30641005527184173,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.7091809756973017,0.30378794650792207,-0.6926567776427963,0.2279841257666253,4.222674202135291,True,1.0,452248.0673164931,-0.6366401575973252,True,0.3522075412827859,1.6091299967172494,0.10758791936168244,0.05954843350908101,2219,0.42509456259783657,0.3501627167044009,-0.06849389399352224,-0.09080397557525965,-0.17064676189610584,0.006480182329988336,-0.11468156248785702,7.8713659207732976,3.858869500850738,-0.8997802460970583,-0.825059064616533,-1.3114268525511152,0.14670421594362928,-2.027886451978468,0.14907899610819664,0.4321701987275424,0.5759027578433188,close,0.5260518482374759,12.962230553146918,1184,0.9766521010872937,0.9994441373482578,False,50,7,override,0.2957,override,False,False,False,True,True,True,3,6,False,True,underpowered
crypto,1d,pivot_center@allow_short=0,False,20,8.938601709264592,0.45549940996187765,0.47699228544672145,0.3197439301534337,0.15724835529328773,2.7352391852028353,0.2723242558581381,1.9356689859370229,3158,1.0608819032582486,0.8014712030597259,0.25941070019852275,1.7444095054316378,0.5988278880936918,0.151703950358534,1.113005269590621,16.416411512553584,3266,2017-08-29,2026-08-08,0.43209649402154277,0.8212804439234934,-0.587149925129528,-0.86811831251871,0.4033273485752644,326591.22276795545,206726.2328011097,0.23303999844018672,-0.04505549899644414,0.1487097492823705,0.9435,-0.06019321203693066,0.5168211844007996,2000,-0.08954513710122985,0.5383661833021568,-0.40741766784128025,6,0.433745;0.194279;-0.258004;0.388260;-0.319995;-0.975558,0.5261253901983752,-0.606986101187764,119401.3395737955,True,207189.88319415992,3.0,0.04611272421657884,1.2827163868445544,0.45549940996187765,0.5307475354057544,0.8123858405355238,0.2816383051297694,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.6440515771858144,0.2876532783933612,-0.6513682895352644,0.18933900705336026,3.4084390689506687,True,1.0,326591.22276795545,-0.587149925129528,True,0.2972650305522746,1.454095078583053,0.1459199478396198,0.050258300771878206,2219,0.34320868190461473,0.34784401368718165,-0.057928351281655965,-0.10258979788544581,-0.1451026717261032,-0.00429343503768119,-0.1754569077033104,5.8283636384528075,3.878447015394231,-0.7947863929638875,-1.0169122083920563,-1.2109623808657641,-0.08791814735160905,-3.4559753063382423,0.26570616630222155,0.3779380567625165,0.5113001529553105,close,-0.07277500400982907,11.083849449600844,1184,0.9766521010872937,0.9991912495269614,False,50,7,override,0.2957,override,False,False,False,True,True,True,3,6,False,True,underpowered
crypto,1d,ema_cross_sniper,False,20,8.938601709264592,0.9393842520413853,0.5072489591094407,0.3797175086684388,0.1275314504410019,2.2039207688805194,0.29415670650730413,3.0321707791121453,1506,0.9480113875082287,0.8014712030597259,0.1465401844485028,0.5894479388960818,0.4659352159603574,0.5397320545833961,2.062402640887612,16.416411512553584,3266,2017-08-29,2026-08-08,0.5905080434514852,0.8212804439234934,-0.5454659458845067,-0.86811831251871,0.4033273485752644,391493.61156038515,206726.2328011097,0.7825194536915758,-0.10755037936004579,0.24860581364139347,0.7035,-0.33977638518013425,0.6367846938455926,2000,0.05662514312334599,1.1641353847094449,0.11914654350866935,6,-0.576395;1.443282;-1.071007;-0.263129;-0.787736;1.594735,0.7190090155202747,-0.7409525029156174,177635.066145887,True,213858.54541449816,5.0,0.021258568356344033,0.5462903535537582,0.9393842520413853,0.478583888731613,0.9299369886178782,0.4513530998862652,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.880168300340056,0.33450843302832256,-0.7826965179074905,0.17274052608111812,2.9684332792283503,True,1.0,391493.61156038515,-0.5454659458845067,True,0.5344673371570491,2.0377859658097277,0.04157134249533989,0.04184396890637221,2219,-0.298106469411774,0.21558927518851795,0.2154729377350024,0.1213852092746176,-0.3417745035446823,0.0023561447464302172,-0.43500387692466935,-2.5353604622267003,1.314274758930482,1.5719121814767953,0.6485675063506535,-1.4113734770859894,0.02822046504786194,-4.503743978968718,0.03916941809576935,-0.013669430529568503,0.04215814917629912,close,0.06444799052016176,10.906187938446728,1184,0.9766521010872937,0.9976710650984635,False,50,7,override,0.2957,override,False,False,False,True,True,True,3,6,False,True,underpowered
crypto,1d,bar_updn@allow_short=0,False,20,8.938601709264592,0.4999843763814637,0.4496860149374584,0.3353783443110179,0.11430767062644054,2.0837064142846624,0.3628158844765343,1.44127570482985,4432,0.9739240653117068,0.8014712030597259,0.17245286225198098,0.8030116976762994,0.49671158723170633,0.2120323278017806,1.7489427617135525,16.416411512553584,3266,2017-08-29,2026-08-08,0.4661940332136617,0.8212804439234934,-0.7169599037365146,-0.86811831251871,0.4033273485752644,276416.26789097633,206726.2328011097,0.1412035442236816,-0.05578531423904679,0.2147575966215851,0.783,-0.2652871028344188,0.6025144930866034,2000,-0.24479796231229514,0.7006951419535186,-0.8557645998036147,6,0.251926;0.077255;0.012507;0.374221;-0.761939;-1.422758,0.5676429247316769,-0.6395821023340642,132656.05269342623,True,143760.21519755013,2.0,0.066021035534691,1.0478815141330973,0.4999843763814637,0.5282243497871326,0.6272122228786725,0.09898787309153989,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.6948748867906926,0.30044559593236153,-0.6839390859163583,0.14924041900509688,2.640821032563439,True,1.0,276416.26789097633,-0.7169599037365146,True,0.37712911732982224,1.811969462467517,0.0699909151447895,0.05439746377417798,2219,0.35840241830345976,0.36295471405887436,-0.14137287445136304,-0.12362388954865133,-0.07343369189977228,0.011333621127498722,-0.027364707404719385,5.644305887752397,3.5797451559766085,-1.8187963623998067,-1.235408968524381,-0.5465549808766285,0.25532357078682055,-0.4458982632703358,0.08030091393141081,0.4286610110951995,0.5867235625634932,close,0.5650770601890535,12.62869170249107,1184,0.9766521010872937,0.9983735462668966,False,50,7,override,0.2957,override,False,False,False,True,True,False,2,6,False,True,underpowered
crypto,1d,bb_outside_in@allow_short=0,False,20,8.938601709264592,0.3981297771536326,0.36580423317734456,0.27525040036126325,0.09055383281608131,1.846322807753166,0.42947368421052634,3.3197727280908254,475,0.9976801862771879,0.8014712030597259,0.19620898321746205,1.3982508731564247,0.5250335372011907,0.15311119823298439,1.66511640065667,16.416411512553584,3266,2017-08-29,2026-08-08,0.34773754061310963,0.8212804439234934,-0.3717038932944674,-0.86811831251871,0.4033273485752644,162249.5385299029,206726.2328011097,0.5339696820153801,-0.12107908290921846,0.14032459194860936,0.9115,-0.08176194464458926,0.4601790049155154,2000,0.26024052867241426,0.37529219008018627,1.6985605415965332,6,0.738445;0.629613;0.053191;-0.170476;0.365941;-0.055270,0.4234090111191095,-0.5166542199130882,87877.12411317078,True,74372.41441673212,10.0,0.006638519900675324,1.1078101320853526,0.3981297771536326,0.534556036731827,0.9841280647753423,0.44957202804351537,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.5183122626017501,0.25012919658440413,-0.5594120337248442,0.11567503659294043,2.2056787121472707,True,1.0,162249.5385299029,-0.3717038932944674,False,0.2777356183551897,1.8754062884040945,0.06073685068401269,0.08141677547529125,2219,0.3681705012348084,0.22155255796794404,-0.057687810433243614,-0.15892256427583173,-0.15411608273397295,-0.02968772991105262,-0.07767261929993921,6.71421692638873,3.365806439659371,-0.8986626651484706,-1.8788501163523692,-1.52427235448539,-0.7826842810978001,-1.7746778120673168,0.09588953527910404,0.3235776424814354,0.5980312656014158,close,0.07029937936527501,9.572927588614816,1184,0.9766521010872937,0.9985546473518291,False,50,7,override,0.2957,override,True,False,False,True,True,True,4,6,False,True,underpowered
crypto,1d,range_filter@allow_short=0,False,20,8.938601709264592,0.3235876944331298,0.25208422731431823,0.2709760414204181,-0.018891814106099858,0.8747117294886457,0.42953020134228187,2.281420954265415,596,0.7571793238657915,0.8014712030597259,-0.0442918791939344,-0.12832768091983288,0.2575413938986832,-0.008614620308454538,-0.07170763793329714,16.416411512553584,3266,2017-08-29,2026-08-08,0.34033717752503173,0.8212804439234934,-0.5237789729646023,-0.86811831251871,0.4033273485752644,74594.59659344889,206726.2328011097,0.48244938900139767,-0.15922357943766327,0.34514672809838914,0.475,-0.8679471453983725,0.4458930928102377,2000,-0.17446885280251853,0.2488567895351396,-1.7172915642495352,6,0.067740;-0.229675;-0.523199;0.066667;-0.033862;-0.394483,0.4143982485436314,-0.5080451055540595,85279.06289430542,False,-10684.466300856528,0.0,0.008411297109646537,0.9011188839194959,0.3235876944331298,0.5420424964922588,0.4812797770164677,-0.060762719475791094,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.5072818201321414,0.2464584045853766,-0.5505309747741169,0.005625822728941632,1.0410742621030649,True,1.0,74594.59659344889,-0.5237789729646023,False,0.09790246964765201,0.6215521078898083,0.5342364208153763,0.05309075165222188,2219,0.27602550425015554,0.2765553635605209,0.02696055109056472,-0.11288977469340258,-0.17514320707975053,0.00018288812859811043,-0.19934791221250553,7.372163689217641,3.5052212414813,0.45369465273157583,-1.4151942049149484,-1.9076779445085177,0.0044344719065869224,-4.688861293664334,0.9428345776214966,0.2765633638911408,0.4356842358080947,close,-0.2434674932162529,16.70897698411255,1184,0.9766521010872937,0.9876400122371751,False,50,7,override,0.2957,override,False,False,False,False,False,False,0,6,False,True,underpowered
